id,link,price,title,starRating,publisher,image,video,previewImageList,genreList,contentRating,contentRatingReasons
com.mojang.minecraftpe,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,$6.99,Minecraft,4.5,Mojang,https://lh3.googleusercontent.com/VSwHQjcAttxsLE47RuS4PqpC4LT7lCoSjE7Hx5AW_yCxtDvcnsHHvm5CTuL5BPN-uRTP=s180,https://www.youtube.com/embed/gcf9FM4TbN4?ps=play&vq=large&rel=0&autohide=1&showinfo=0,"https://i.ytimg.com/vi/gcf9FM4TbN4/hqdefault.jpg, https://lh3.googleusercontent.com/4r8nWBGPNKid_7q7965C86DSo_BvEkp-CdMxETYJZ-x7eKrKP_SQU5ntCkQxAuhGfjk=w720-h310, https://lh3.googleusercontent.com/8O1-J7YFRB1vtq4J73zkRXU-Zf7KWAXHdor_MXHlIq4Xtw49S0fEtDmY0V8pmXSjE8I=w720-h310, https://lh3.googleusercontent.com/GszvU00I5sSnujEL_zg4905MJuoBs4X57t5yb95ehtZ0ruU5-uJMS0Z22zccw_4WFFf3=w720-h310, https://lh3.googleusercontent.com/_T5Onj0iaqQjYTf-PNVMXBVENNm5LpQLeMA7tF9Pd-CUFVfZy9afv3C0P9PZ3hfurNI=w720-h310, https://lh3.googleusercontent.com/34W0sPkaT9YL1mKYfJklQHS9N7FXVsFaW_vMDlnWSWcaONXmGvfgHUVcsWKWHbarLq-M=w720-h310, https://lh3.googleusercontent.com/Cq6Sju3wrs8IvE7y0w1pGwjO1FNZchjIbXEqpOTtdW5y7s7qkW-aYEPBFILA4RSKuF8=w720-h310, https://lh3.googleusercontent.com/0NS4VI__zHQ5ZG9sDNJF4C6uaccSgqUKV4T-2ND1AXA_kuf_FkQSLx6Rkj6Yyc4npB2x=w720-h310, https://lh3.googleusercontent.com/0-zBoTxVn5PJQtNNnovURx1JIbIytd7_H8fXbOVNyReZkKdgU30BkBzD-XmdoP6BtS0=w720-h310",Arcade,Everyone 10+,Fantasy Violence
com.marmalade.monopoly,https://play.google.com/store/apps/details?id=com.marmalade.monopoly,$2.49,Monopoly - the money & real-estate board game!,4.1,Marmalade Game Studio,https://lh3.googleusercontent.com/1YAUDTx87g24kF4V8WY1U3arQMMPv0BslQxwfv87KLbAA7vKj0aAFnGH78XWiN9Kj593=s180,https://www.youtube.com/embed/Ce0MMZCmJY0?ps=play&vq=large&rel=0&autohide=1&showinfo=0,"https://i.ytimg.com/vi/Ce0MMZCmJY0/hqdefault.jpg, https://lh3.googleusercontent.com/EcQQynMx6RgoaCrsY6cLsSul9D3Wi5AtkyTSDg3RiwpnlNP4R_oZl2GcUzJ6diuovA=w720-h310, https://lh3.googleusercontent.com/VkinCVut3W0ylIO59tBWrUYEB6BtKek6xhPQU4Bx-GjFMK-nm0EwejwShw4R607ANA=w720-h310, https://lh3.googleusercontent.com/9ZMx30PBBgW0QyMH2akftZhnTECUjP6x1IEU9mBCXoYvfjcf46QMSSF75rOLUG5gIQ=w720-h310, https://lh3.googleusercontent.com/X519hrvcvgK-G9zDdQV0ytLHidxjkPW0sUrqZSMZTagEWqY8YtPRc1fZyV0PW6-C_kU=w720-h310, https://lh3.googleusercontent.com/ey7kmlNVppLv6J6psGw5AFCTS20w16rQ3h-BfIWYt20bTKfjmoPUIiXTBc2sPqX8sB8=w720-h310, https://lh3.googleusercontent.com/9CWeowbUMm0v8JNb5FujbLv-Sc3YKtes1VAd1UYcESSNtzlOEsNFKwwOSia4fesi-DU=w720-h310, https://lh3.googleusercontent.com/36RX0VwqYygFT95D-BaLl1RR59i31r1vGbAYjnffZQQIXZUHlumfsIWur9ZNcratZw=w720-h310, https://lh3.googleusercontent.com/_YaP2nlFQ3TX4KI9rMq07SjwBNWaHTzbXzcgEe-PCiP8jrWmY_m6Z9ENdFuxzboR8Q=w720-h310, https://lh3.googleusercontent.com/xVEcC_3xNVD_VD0l6Tgg64icgGO5qJDdrQbAfY5b6DEdA0lcuNIx9ndDif9Mm8szUIgq=w720-h310, https://lh3.googleusercontent.com/9fs4TXc7NsmHvZCjQ82O5TRnCSaom-uF96c5eg51K3TS6vP0NoqkOGUsC9dYjk7jEOWY=w720-h310, https://lh3.googleusercontent.com/p3tgg4BnR2AbU4w2NayzKKQ1HArdQY8oRQk8JVma4BJusjp43zgjU0JztSwiqRPbtWf1=w720-h310, https://lh3.googleusercontent.com/bPSZmUf0GngioVZ4GbXErvORGcD4-6hT7WgDzNH6xWHhgbVsUnXSR3PqaJBTypYI2d0=w720-h310",Board,Everyone,Learn More
com.ninjakiwi.bloonstd6,https://play.google.com/store/apps/details?id=com.ninjakiwi.bloonstd6,$4.99,Bloons TD 6,4.7,ninja kiwi,https://lh3.googleusercontent.com/eLQwvPea1fpBHB5wsIGF7lZAFK4gROUaNkhMfJRsj6rYvE7wscdTWAU8GPof0UFjeks=s180,https://www.youtube.com/embed/mZSY1PSIJ-E?ps=play&vq=large&rel=0&autohide=1&showinfo=0,"https://i.ytimg.com/vi/mZSY1PSIJ-E/hqdefault.jpg, https://lh3.googleusercontent.com/45jzfiMXZ3z5YO2eyM3pOU48DhRrEMGFpj5hwhOmHJT2Y-R_oUy2PRa3ljJzrkWeBAY=w720-h310, https://lh3.googleusercontent.com/HOhxGcWQShBD342z8bkL9Cl6S4gEoIeuXOB3dMLe-_0OxVW8cibuXmEB7NlyZE0v0dMy=w720-h310, https://lh3.googleusercontent.com/hk3qqmYkGpPodR8kGxdXBdhajeg0VtIOc2iVevXF966d-Vk4635J-A32eArrhCnOrl0=w720-h310, https://lh3.googleusercontent.com/qDdrY3zb_ElvtxWG6XnEnD08wGaFQdnIyWeQSf5GjdAiln39-9dYPCtBoFRyN_lCAXI=w720-h310, https://lh3.googleusercontent.com/zst3DOsIAWPE4gq1VCWPZuLXDW2_SrGuv7n1hqKFcz_wJXDPdDUf61EiqWgtgwBXZQY=w720-h310, https://lh3.googleusercontent.com/VLT_fwY3CZ1sP3voC8A4rCJVU-vieaZfJI2wraNQ0C74vc5htays3X1kWYKCuATkYVM=w720-h310, https://lh3.googleusercontent.com/jpmCOifKx_YkfMKbjJxJqcHg3Mh6mrqPNeKHms7iyMTYvNXLxMEcX7JcCM803erNeA=w720-h310, https://lh3.googleusercontent.com/wB211gi1g_09PAKIl0AgvNPoj-EkNBhRVf1boazpNKMKt0IRxvQYaDqWEt_XijY4m-t0=w720-h310, https://lh3.googleusercontent.com/V_oYWAFavKSylrCppoMFnBa3OJup1P-n5yfnTEGsiz5WK5nhK9eMZTiMwyHJB_WZOYXv=w720-h310, https://lh3.googleusercontent.com/NfUbemYclY2tdYIP3Mg-4nMOUMNFCqlkLzNLog4zRZAUHpe_HEsK0NRBH4AX8pXEZx0=w720-h310, https://lh3.googleusercontent.com/yQjGAuhucdT8hUXTUo_3y93QV83xxzkt3dIJGIXQ1I5lr5RUfmyi7Bxr0WtFjPteDu0=w720-h310, https://lh3.googleusercontent.com/8hn5tJfEx4rJMcMfn72OtLpGB0eZyYNLmxBoD0DsvjHp_cSJT78k32ZYjg3RjQQhCL4=w720-h310, https://lh3.googleusercontent.com/ITdtUHkaQJMq8nxNGj9dAt-dapEWdnmXDYR9o4GnFJS9YGM_u82am2GvPPfn80H4qJQ=w720-h310, https://lh3.googleusercontent.com/GTuItiTwog_LHdNTVElUKv3wGbC0H64sSwHa5SKecufh8NBF4R7xWM1xZ5f2MSRplfM=w720-h310, https://lh3.googleusercontent.com/_kIQNUKkjAsYxmMsFKgELn-jH-BI4oHVzvu3RtvkOEJH3acRCh-23FtWxg4Tr4NfXBKw=w720-h310","Strategy, Action & Adventure",Everyone,Mild Fantasy Violence
